Day,Open,High,Low,Close,Volume
20161220,8225,8250,8015,8020,2533566
20161221,8075,8095,7915,7980,3196761
20161222,7965,8005,7860,7895,2818847
20161223,7890,8055,7850,8035,2404271
20161226,8050,8075,7990,8000,1663245
20161227,8010,8105,8000,8105,3179527
20161228,8200,8450,8120,8450,5542831
20161229,8400,8545,8340,8515,3484031
20170102,8500,8590,8390,8435,2631293
20170103,8460,8530,8440,8510,3315833
20170104,8520,8640,8505,8600,4354608
20170105,8640,8725,8600,8600,3868024
20170106,8640,8665,8565,8640,2871564
20170109,8660,8680,8580,8580,1924592
20170110,8550,8560,8320,8320,3278039
20170111,8330,8515,8330,8430,2454205
20170112,8400,8435,8280,8300,2015633
20170113,8290,8510,8290,8410,2458567
20170116,8420,8455,8250,8265,2265437
20170117,8250,8365,8135,8160,2160422
20170118,8135,8255,8060,8205,3862832
20170119,8245,8310,8150,8170,2290499
20170120,8140,8215,8090,8090,1639555
20170123,8090,8145,8000,8000,1764505
20170124,7980,8035,7880,7885,2208512
20170125,7955,7975,7790,7855,1748933
20170126,7900,8040,7785,8040,3248149
20170131,7995,8080,7980,8015,1533403
20170201,8035,8210,8025,8210,2633871
20170202,8180,8295,8000,8000,2801374
20170203,8035,8130,7900,7945,3011025
20170206,7980,8105,7920,8090,2109608
20170207,8070,8120,7970,8015,1689658
20170208,8030,8040,7910,8040,1743997
20170209,8045,8065,7985,8055,1733966
20170210,8100,8170,8015,8065,2109910
20170213,8075,8120,8045,8120,1377729
20170214,8150,8150,8060,8095,1304533
20170215,8100,8250,8070,8250,2612964
20170216,8290,8310,8210,8280,2360783
20170217,8230,8350,8220,8305,2110365
20170220,8315,8345,8295,8340,1457456
20170221,8340,8415,8325,8410,2677964
20170222,8425,8450,8395,8415,1832489
20170223,8420,8440,8295,8295,2189603
20170224,8310,8375,8280,8300,2186824
20170227,8300,8330,8225,8225,1144399
20170228,8250,8270,8200,8220,934091
20170302,8275,8280,8150,8160,1462232
20170303,8100,8100,7940,7955,3449282
20170306,7900,8065,7865,8055,2859303
20170307,8035,8110,7990,8085,2223632
20170308,8060,8120,8010,8035,1828825
20170309,8045,8140,7995,8035,2829827
20170310,8035,8260,7960,8260,4794420
20170313,8270,8315,8245,8265,1865376
20170314,8305,8310,8170,8185,1934122
20170315,8180,8185,7965,7965,2425377
20170316,8035,8110,8005,8095,1614990
20170317,8090,8110,8015,8040,1914212
20170320,8040,8040,7870,7965,2114240
20170321,7960,8065,7960,8045,2126279
20170322,7960,8070,7955,7995,1413976
20170323,8005,8025,7935,7980,992038
20170324,7990,8025,7955,8025,1169381
20170327,8015,8115,8010,8065,1683220
20170328,8080,8205,8065,8190,2103539
20170329,8235,8245,8175,8230,1139889
20170330,8245,8255,8200,8220,1143538
20170331,8240,8385,8220,8355,3343334
20170403,8385,8715,8370,8705,5320764
20170404,8685,8790,8595,8695,3766804
20170405,8720,8800,8615,8735,4011729
20170406,8710,8835,8605,8820,3426924
20170407,8850,8880,8785,8870,3004284
20170410,8850,8855,8450,8450,5525435
20170411,8450,8635,8350,8580,4810931
20170412,8580,8620,8500,8570,1647939
20170413,8570,8670,8545,8655,2561635
20170414,8595,8690,8505,8520,2843825
20170417,8565,8800,8565,8785,2709956
20170418,8855,8900,8775,8900,3779049
20170419,8895,8940,8820,8925,2646731
20170420,8910,9000,8900,8920,2951398
20170421,8945,8985,8820,8875,1909283
20170424,8900,8925,8715,8725,1812961
20170425,8785,8870,8775,8870,1869888
20170426,8935,8980,8915,8925,1870496
20170427,8925,8945,8805,8805,1769843
20170428,8825,8905,8695,8785,3131071
20170502,8785,8875,8740,8775,1867827
20170504,8820,9090,8805,9090,2612668
20170508,9160,9490,9160,9490,3986488
20170510,9570,9650,9330,9435,4895568
20170511,9440,9580,9415,9580,2992209
20170512,9590,9610,9360,9370,3420815
20170515,9360,9540,9355,9455,2264980
20170516,9505,9560,9250,9280,3700236
20170517,9280,9380,9240,9295,3319668
20170518,9075,9215,9060,9215,2886811
20170519,9225,9340,9210,9290,1885088
20170522,9355,9370,9265,9300,1123540
20170523,9340,9395,9305,9380,2299922
20170524,9395,9490,9385,9475,1864898
20170525,9525,9540,9410,9450,2059626
20170526,9465,9525,9425,9465,2326693
20170529,9485,9510,9325,9360,1974215
20170530,9380,9535,9370,9535,2699905
20170531,9565,9700,9535,9685,2743324
20170601,9715,9750,9625,9750,2263444
20170602,9800,9905,9785,9885,2564091
20170605,9950,10085,9905,10085,2244280
20170607,10115,10265,10025,10265,3098428
20170608,10250,10465,10250,10385,2801800
20170609,10425,10495,10380,10490,2329944
20170612,10360,10380,10060,10145,3363818
20170613,10135,10360,10135,10360,2135077
20170614,10440,10555,10350,10425,2996588
20170615,10430,10445,10180,10365,2473304
20170616,10360,10390,10250,10385,1730011
20170619,10395,10630,10390,10630,2464612
20170620,10720,10775,10555,10560,2358678
20170621,10460,10490,10350,10485,2713423
20170622,10515,10545,10365,10385,1775146
20170623,10360,10535,10360,10500,1860693
20170626,10505,10560,10450,10560,1614690
